"","order","suborder","greatgroup","series","top","bottom","units","family","subgroup","subgroup_code","class_string","topt","bottomt"
"136","Mollisols","Aquolls","Endoaquolls","KRATKA","6","18","inches","Sandy over loamy, mixed, superactive, frigid Typic Endoaquolls","typic endoaquolls","IBGK","Sandy over loamy, mixed, superactive, frigid",15.24,45.72
"137","Mollisols","Ustolls","Haplustolls","KUTLER","10","16","inches","Loamy-skeletal, mixed, superactive, frigid Typic Haplustolls","typic haplustolls","IGGZe","Loamy-skeletal, mixed, superactive, frigid",25.4,40.64
"138","Mollisols","Xerolls","Haploxerolls","LAFOLLETTE","10","15","inches","Coarse-loamy, mixed, superactive, mesic Vitritorrandic Haploxerolls","vitritorrandic haploxerolls","IFFG","Coarse-loamy, mixed, superactive, mesic",25.4,38.1
"139","Mollisols","Aquolls","Endoaquolls","LAKEPARK","24","40","inches","Fine-loamy, mixed, superactive, frigid Cumulic Endoaquolls","cumulic endoaquolls","IBGI","Fine-loamy, mixed, superactive, frigid",60.96,101.6
"140","Mollisols","Aquolls","Endoaquolls","LAMO","Texture: silt loam, loam, clay loam or silty clay loam"," is horizon has redox features"," in some pedons this horizon is absent but the mollic epipedon is 24 inches thick","Fine-silty, mixed, superactive, calcareous, mesic Cumulic Endoaquolls","cumulic endoaquolls","IBGI","Fine-silty, mixed, superactive, calcareous, mesic",NA,NA
"141","Mollisols","Xerolls","Haploxerolls","LAMONDI","20","26","inches","Loamy-skeletal, mixed, superactive, frigid Pachic Ultic Haploxerolls","pachic ultic haploxerolls","IFFR","Loamy-skeletal, mixed, superactive, frigid",50.8,66.04
"142","Mollisols","Ustolls","Haplustolls","LANDER","7","15","inches","Fine-loamy, mixed, superactive, frigid Fluvaquentic Haplustolls","fluvaquentic haplustolls","IGGS","Fine-loamy, mixed, superactive, frigid",17.78,38.1
"143","Mollisols","Xerolls","Haploxerolls","LANDLOW","12","20","inches","Fine, smectitic, thermic Aquic Haploxerolls","aquic haploxerolls","IFFO","Fine, smectitic, thermic",30.48,50.8
"144","Mollisols","Ustolls","Calciustolls","LEETON","7","10","inches","Fine-loamy, mixed, superactive, mesic Aquic Calciustolls","aquic calciustolls","IGCI","Fine-loamy, mixed, superactive, mesic",17.78,25.4
"145","Mollisols","Xerolls","Haploxerolls","LEIKO","7","14","inches","Sandy-skeletal, mixed, mesic Vitrandic Haploxerolls","vitrandic haploxerolls","IFFH","Sandy-skeletal, mixed, mesic",17.78,35.56
"146","Mollisols","Aquolls","Endoaquolls","LEMOND","14","24","inches","Coarse-loamy, mixed, superactive, calcareous, mesic Typic Endoaquolls","typic endoaquolls","IBGK","Coarse-loamy, mixed, superactive, calcareous, mesic",35.56,60.96
"147","Mollisols","Udolls","Hapludolls","LETA","10","24","inches","Clayey over loamy, smectitic, mesic Fluvaquentic Hapludolls","fluvaquentic hapludolls","IHFJ","Clayey over loamy, smectitic, mesic",25.4,60.96
"148","Mollisols","Aquolls","Endoaquolls","LEVASY","10","24","inches","Clayey over loamy, smectitic, calcareous, mesic Fluvaquentic Endoaquolls","fluvaquentic endoaquolls","IBGJ","Clayey over loamy, smectitic, calcareous, mesic",25.4,60.96
"149","Mollisols","Aquolls","Endoaquolls","LOLETA","25","49","centimeters","Fine-loamy, mixed, superactive, isomesic Fluvaquentic Endoaquolls","fluvaquentic endoaquolls","IBGJ","Fine-loamy, mixed, superactive, isomesic",25,49
"150","Mollisols","Cryolls","Haplocryolls","LONGSWAMP","16","25","inches","Fine-loamy, isotic Vitrandic Haplocryolls","vitrandic haplocryolls","IEFD","Fine-loamy, isotic",40.64,63.5
"151","Mollisols","Aquolls","Cryaquolls","LOSTFORK","20","35","inches"," Loamy-skeletal, mixed, superactive Aquandic Cryaquolls","aquandic cryaquolls","IBAD","Loamy-skeletal, mixed, superactive",50.8,88.9
"152","Mollisols","Cryolls","Palecryolls","LUCKY STAR","10","20","inches","Loamy-skeletal, mixed, superactive Typic Palecryolls","typic palecryolls","IECG","Loamy-skeletal, mixed, superactive",25.4,50.8
"153","Mollisols","Aquolls","Cryaquolls","LUCKYBUTTE","20","40","inches"," Fine-loamy over sandy or sandy-skeletal, mixed, superactive Aquandic Cryaquolls","aquandic cryaquolls","IBAD","Fine-loamy over sandy or sandy-skeletal, mixed, superactive",50.8,101.6
"154","Mollisols","Aquolls","Endoaquolls","LUMMI","10","20","inches","Fine-silty, mixed, superactive, mesic Fluvaquentic Endoaquolls","fluvaquentic endoaquolls","IBGJ","Fine-silty, mixed, superactive, mesic",25.4,50.8
"155","Mollisols","Aquolls","Endoaquolls","LUNDLAKE","24","60","inches","Fine-loamy, mixed, superactive, mesic Cumulic Endoaquolls","cumulic endoaquolls","IBGI","Fine-loamy, mixed, superactive, mesic",60.96,152.4
"156","Mollisols","Aquolls","Epiaquolls","LURA","61","168","cm","Fine, smectitic, mesic Cumulic Vertic Epiaquolls","cumulic vertic epiaquolls","IBFA","Fine, smectitic, mesic",61,168
"157","Mollisols","Aquolls","Endoaquolls","MADELIA","36","61","cm","Fine-silty, mixed, superactive, mesic Typic Endoaquolls","typic endoaquolls","IBGK","Fine-silty, mixed, superactive, mesic",36,61
"158","Mollisols","Xerolls","Haploxerolls","MALO","10","17","inches","Coarse-loamy, mixed, superactive, mesic Fluventic Haploxerolls","fluventic haploxerolls","IFFZb","Coarse-loamy, mixed, superactive, mesic",25.4,43.18
"159","Mollisols","Ustolls","Haplustolls","MARKSBUTTE","10","16","inches","Coarse-loamy, mixed, superactive, mesic Fluvaquentic Haplustolls","fluvaquentic haplustolls","IGGS","Coarse-loamy, mixed, superactive, mesic",25.4,40.64
