"","order","suborder","greatgroup","series","top","bottom","units","family","subgroup","subgroup_code","class_string","topt","bottomt"
"458","Mollisols","Ustolls","Argiustolls","SWASTIKA","7","20","inches","Fine, mixed, superactive, mesic Aridic Argiustolls","aridic argiustolls","IGER","Fine, mixed, superactive, mesic",17.78,50.8
"459","Mollisols","Xerolls","Durixerolls","SWEET","7","15","inches","Fine-loamy, mixed, superactive, mesic Argidic Durixerolls","argidic durixerolls","IFAI","Fine-loamy, mixed, superactive, mesic",17.78,38.1
"460","Mollisols","Xerolls","Haploxerolls","SWIPKIN","7","17","inches","Coarse-silty, isotic, mesic Vitrandic Haploxerolls","vitrandic haploxerolls","IFFH","Coarse-silty, isotic, mesic",17.78,43.18
"461","Mollisols","Aquolls","Calciaquolls","SYRENE","7","16","inches","Sandy, mixed, frigid Typic Calciaquolls","typic calciaquolls","IBDC","Sandy, mixed, frigid",17.78,40.64
"462","Mollisols","Ustolls","Haplustolls","SYRETT","7","16","inches","Loamy-skeletal, mixed, superactive, frigid Entic Haplustolls","entic haplustolls","IGGZd","Loamy-skeletal, mixed, superactive, frigid",17.78,40.64
"463","Mollisols","Cryolls","Haplocryolls","TAMP","7","15","inches","Fine-loamy, mixed, superactive Ustic Haplocryolls","ustic haplocryolls","IEFN","Fine-loamy, mixed, superactive",17.78,38.1
"464","Mollisols","Ustolls","Haplustolls","TANSEM","7","16","inches","Fine-loamy, mixed, superactive, frigid Typic Haplustolls","typic haplustolls","IGGZe","Fine-loamy, mixed, superactive, frigid",17.78,40.64
"465","Inceptisols","Aquepts","Endoaquepts","TEETERS","7","24","inches","Ashy, glassy, calcareous, mesic Aquandic Endoaquepts","aquandic endoaquepts","KAJD","Ashy, glassy, calcareous, mesic",17.78,60.96
"466","Mollisols","Xerolls","Argixerolls","TEGURO","18","30","cm","Loamy, mixed, superactive, frigid Lithic Argixerolls","lithic argixerolls","IFEC","Loamy, mixed, superactive, frigid",18,30
"467","Mollisols","Ustolls","Haplustolls","TEMVIK","7","16","inches","Fine-silty, mixed, superactive, frigid Typic Haplustolls","typic haplustolls","IGGZe","Fine-silty, mixed, superactive, frigid",17.78,40.64
"468","Mollisols","Cryolls","Haplocryolls","TEOCULLI","7","15","inches","Coarse-loamy, mixed, superactive Ustic Haplocryolls","ustic haplocryolls","IEFN","Coarse-loamy, mixed, superactive",17.78,38.1
"469","Mollisols","Xerolls","Haploxerolls","TETHEROW","7","12","inches","Loamy over pumiceous or cindery, mixed, superactive, mesic Vitritorrandic Haploxerolls","vitritorrandic haploxerolls","IFFG","Loamy over pumiceous or cindery, mixed, superactive, mesic",17.78,30.48
"470","Mollisols","Ustolls","Calciustolls","TEXON","7","12","inches","Fine, smectitic, thermic Torrertic Calciustolls","torrertic calciustolls","IGCD","Fine, smectitic, thermic",17.78,30.48
"471","Mollisols","Aquolls","Calciaquolls","THIEFRIVER","7","16","inches","Sandy over clayey, mixed over smectitic, frigid Typic Calciaquolls","typic calciaquolls","IBDC","Sandy over clayey, mixed over smectitic, frigid",17.78,40.64
"472","Mollisols","Xerolls","Haploxerolls","THIRSTYGULCH","7","20","inches","Loamy-skeletal, isotic, frigid Lithic Ultic Haploxerolls","lithic ultic haploxerolls","IFFB","Loamy-skeletal, isotic, frigid",17.78,50.8
"473","Mollisols","Ustolls","Haplustolls","TIMBERG","7","10","inches","Fine, mixed, superactive, frigid Typic Haplustolls","typic haplustolls","IGGZe","Fine, mixed, superactive, frigid",17.78,25.4
"474","Mollisols","Cryolls","Haplocryolls","TINEMAN","7","15","inches","Loamy-skeletal, mixed, superactive Ustic Haplocryolls","ustic haplocryolls","IEFN","Loamy-skeletal, mixed, superactive",17.78,38.1
"475","Mollisols","Ustolls","Argiustolls","TOLMAN","7","16","inches","Loamy-skeletal, mixed, superactive, frigid Lithic Argiustolls","lithic argiustolls","IGEC","Loamy-skeletal, mixed, superactive, frigid",17.78,40.64
"476","Mollisols","Udolls","Hapludolls","TOLNA","7","16","inches","Coarse-loamy, mixed, superactive, frigid Aquic Hapludolls","aquic hapludolls","IHFN","Coarse-loamy, mixed, superactive, frigid",17.78,40.64
"477","Mollisols","Cryolls","Haplocryolls","TOMICHI","7","15","inches","Sandy, mixed Ustic Haplocryolls","ustic haplocryolls","IEFN","Sandy, mixed",17.78,38.1
"478","Mollisols","Xerolls","Haploxerolls","TONASKET","7","10","inches","Coarse-loamy, mixed, superactive, mesic Calcidic Haploxerolls","calcidic haploxerolls","IFFV","Coarse-loamy, mixed, superactive, mesic",17.78,25.4
"479","Mollisols","Ustolls","Argiustolls","TORRINGTON","7","20","inches","Coarse-loamy, mixed, superactive, mesic Aridic Argiustolls","aridic argiustolls","IGER","Coarse-loamy, mixed, superactive, mesic",17.78,50.8
"480","Mollisols","Ustolls","Calciustolls","TOSCA","7","15","inches","Loamy-skeletal, mixed, superactive, frigid Typic Calciustolls","typic calciustolls","IGCN","Loamy-skeletal, mixed, superactive, frigid",17.78,38.1
"481","Mollisols","Ustolls","Haplustolls","TRELONA","7","12","inches","Loamy, mixed, superactive, mesic, shallow Torriorthentic Haplustolls","torriorthentic haplustolls","IGGX","Loamy, mixed, superactive, mesic, shallow",17.78,30.48
"482","Mollisols","Ustolls","Calciustolls","TRIVAR","7","13","inches","Coarse-loamy, mixed, superactive, frigid Typic Calciustolls","typic calciustolls","IGCN","Coarse-loamy, mixed, superactive, frigid",17.78,33.02
"483","Andisols","Torrands","Vitritorrands","TUMALO","7","14","inches","Ashy, glassy, mesic Duric Vitritorrands","duric vitritorrands","DDBB","Ashy, glassy, mesic",17.78,35.56
"484","Mollisols","Cryolls","Haplocryolls","TURSON","7","15","inches","Fine-loamy over sandy or sandy-skeletal, mixed, superactive Oxyaquic Haplocryolls","oxyaquic haplocryolls","IEFI","Fine-loamy over sandy or sandy-skeletal, mixed, superactive",17.78,38.1
"485","Mollisols","Udolls","Natrudolls","TURTON","7","40","inches","Fine-silty, mixed, superactive, frigid Calcic Natrudolls","calcic natrudolls","IHAH","Fine-silty, mixed, superactive, frigid",17.78,101.6
"486","Mollisols","Ustolls","Haplustolls","TWIN CREEK","7","14","inches","Fine-loamy, mixed, superactive, frigid Typic Haplustolls","typic haplustolls","IGGZe","Fine-loamy, mixed, superactive, frigid",17.78,35.56
"487","Mollisols","Xerolls","Haploxerolls","TYEE","7","18","inches","Loamy, isotic, mesic, shallow Vitrandic Haploxerolls","vitrandic haploxerolls","IFFH","Loamy, isotic, mesic, shallow",17.78,45.72
"488","Mollisols","Cryolls","Haplocryolls","UHL","7","15","inches","Fine-loamy, mixed, superactive Ustic Haplocryolls","ustic haplocryolls","IEFN","Fine-loamy, mixed, superactive",17.78,38.1
