"","peiid","pedon_id","siteiid","site_id","obs_date","utmzone","utmeasting","utmnorthing","x","y","horizdatnm","musym","areasym","mlra"
"107","533435","71-CA-05-062x",543929,"S1971-CA-05-062x",2009-02-25,10,725409.03,4223348.09,-120.428283691406,38.1298599243164,"NAD83","1090","CA630","18"
"108","533438","71-CA-05-056x",543932,"S1971-CA-05-056x",2009-02-25,10,678870.56,4230502.99,-120.957092285156,38.2047271728516,"NAD83","5202","CA630","18"
"109","533439","71-CA-05-058x",543933,"S1971-CA-05-058x",2009-02-25,10,682538.36,4229763.45,-120.915420532227,38.1973304748535,"NAD83","5100","CA630","18"
"110","533443","80-CA-05-080x",543937,"S1980-CA-05-080x",2009-03-02,10,693238.81,4204985.18,-120.800010681152,37.9719429016113,"NAD83","5012","CA630","18"
"111","533447","67-CA-55-002x",543941,"S1967-CA-55-002x",2009-01-14,10,717837.13,4198133.63,-120.522254943848,37.9046783447266,"NAD83","3046","CA630","18"
"112","533462","S08CALATIGO-001",543956,"S2008CALATIGO-001",2008-08-02,10,703128.3,4219044.5,-120.68350982666,38.0963935852051,"NAD83","7074","CA630","18"
"113","533465","66-CA-05-017x",543959,"S1966-CA-05-017x",2009-01-23,10,710841.01,4215558.31,-120.596656799316,38.0632362365723,"NAD83","8034","CA630","18"
"114","533496","75-CA-55-025x",543990,"S1975-CA-55-025x",2009-02-27,10,748894.28,4193180.64,-120.171081542969,37.8521270751953,"NAD83","8171","CA630","22A"
"115","533499","S09CAL-001",543993,"S2009CAL-001",2009-08-13,10,713804.54,4215194.1,-120.563011169434,38.0592613220215,"NAD83","7088","CA630","18"
"116","533608","66-CA-05-009x",544102,"S1966-CA-05-009x",2009-01-23,10,724683.83,4227375.83,-120.435287475586,38.1663055419922,"NAD83","8172","CA630","22A"
"117","533609","73-CA-55-016x",544103,"S1973-CA-55-016x",2009-02-27,10,722680.68,4198752.16,-120.467025756836,37.9090766906738,"NAD83","4201","CA630","18"
"118","533612","75-CA-05-078x",544106,"S1975-CA-05-078x",2009-02-27,10,706137.6,4203765.06,-120.653617858887,37.9581184387207,"NAD83","8034","CA630","18"
"119","533613","77-CA-55-042x",544107,"S1977-CA-55-042x",2009-03-02,10,729462.8,4191966.19,-120.392105102539,37.8462905883789,"NAD83","8033","CA630","18"
