"","musym","dmudesc","compname","comppct_r","compkind","drainagecl","slope_h","nirrcapcl","nirrcapscl","nirrcapunit","irrcapcl","irrcapscl","irrcapunit","landform_string","restr_depth","has_textural_B","pscs_clay","surface.rf.high","surface.txclay.high","subclass_prop_crit","subclass_slope_crit","subclass_calc","unit_calc"
"183","8194","MLRA 22A - 2pc8q Wallyhill-Lickinfork cplx, 40 to 90","Arpatutu",10,"series","well",90,8,NA,NA,8,NA,NA,"mountain slope & canyon",60,TRUE,25.5102040816327,35,20,"2a",5,"NA","NA"
"182","8194","MLRA 22A - 2pc8q Wallyhill-Lickinfork cplx, 40 to 90","Lickinfork",35,"series","well",90,8,NA,NA,8,NA,NA,"canyon & mountain slope",152,TRUE,24.9290780141844,35,20,"2a",5,"NA","NA"
"75","8194","MLRA 22A - 2pc8q Wallyhill-Lickinfork cplx, 40 to 90","Wallyhill",50,"series","well",90,8,NA,NA,8,NA,NA,"canyon & mountain slope",107,TRUE,18.4752475247525,15,25,"2a",5,"NA","NA"
"277","8286","MLRA 22A - 2nf4f Jocal GR-SIL, 8 to 30","Bottlehill",5,"series","well",30,6,"e",NA,6,"e",NA,"mountain slope",61,TRUE,25.843137254902,35,25,"2a",4,"e","NA"
"279","8286","MLRA 22A - 2nf4f Jocal GR-SIL, 8 to 30","Mariposa",10,"series","well",30,4,"e","8",4,"e","8","mountain slope",64,TRUE,27.8196721311475,30,20,"2a",4,"e","8"
"278","8286","MLRA 22A - 2nf4f Jocal GR-SIL, 8 to 30","Jocal",80,"series","well",30,4,"e","1",4,"e","1","mountain slope",165,TRUE,26.695652173913,35,20,"2a",4,"e","3"
"73","8287","MLRA 22A - 2nf4j Jocal-Fiddletown cplx, 30 to 60","Bottlehill",10,"series","well",60,7,"e",NA,7,"e",NA,"mountain slope",61,TRUE,25.843137254902,35,25,"2a",5,"e","NA"
"273","8287","MLRA 22A - 2nf4j Jocal-Fiddletown cplx, 30 to 60","Fiddletown",35,"series","well",60,7,"e",NA,7,"e",NA,"mountain slope",117,FALSE,11.0851063829787,60,20,"6",5,"e","NA"
"272","8287","MLRA 22A - 2nf4j Jocal-Fiddletown cplx, 30 to 60","Jocal",50,"series","well",60,7,"e",NA,7,"e",NA,"mountain slope",200,FALSE,16.0352935791016,15,20,"1d",5,"e","NA"
"275","8289","MLRA 22A - 2nf4h Fiddletown-Rock outcrop cplx, 40 to 90","Jocal",5,"series","well",90,8,NA,NA,8,NA,NA,"mountain slope & canyon",200,FALSE,16.0352935791016,15,20,"1d",5,"NA","NA"
