"","musym","dmudesc","compname","comppct_r","compkind","drainagecl","slope_h","nirrcapcl","nirrcapscl","nirrcapunit","irrcapcl","irrcapscl","irrcapunit","landform_string","restr_depth","has_textural_B","pscs_clay","surface.rf.high","surface.txclay.high","subclass_prop_crit","subclass_slope_crit","subclass_calc","unit_calc"
"179","5101","MLRA 18 - 2n7xp Hornitos-Red Bluff-Ultic Haploxeralfs cplx, 3 to 25","Red Bluff",25,"taxadjunct","well",25,4,"e","1",4,"e","1","paleoterrace & hill",155,TRUE,30.9647058823529,15,18,"2a",4,"e","1"
"177","5101","MLRA 18 - 2n7xp Hornitos-Red Bluff-Ultic Haploxeralfs cplx, 3 to 25","Hornitos",48,"series","well",25,7,"e",NA,7,"e",NA,"hill",25,FALSE,18,30,25,"4b",4,"s","NA"
"305","5201","MLRA 18 - 2rx20 Pardee CB-L, 2 to 15","Miltonhills",5,"series","well",15,4,"e","9",4,"e","9","eroded fan remnant sideslope",60,FALSE,17.5666666666667,15,20,"2a",3,"e","8"
"307","5201","MLRA 18 - 2rx20 Pardee CB-L, 2 to 15","Redding",5,"series","moderately well",8,6,"e",NA,6,"e",NA,"eroded fan remnant",56,TRUE,26.3021582733813,35,25,"2a",2,"e","NA"
"156","5201","MLRA 18 - 2rx20 Pardee CB-L, 2 to 15","Amador",10,"series","well",15,7,"e",NA,7,"e",NA,"eroded fan remnant",31,FALSE,9.48387096774194,15,20,"4a",3,"e","NA"
"136","5201","MLRA 18 - 2rx20 Pardee CB-L, 2 to 15","Pardee",76,"series","well",15,6,"e",NA,6,"e",NA,"eroded fan remnant",46,TRUE,16.6260871472566,35,20,"4a",3,"e","NA"
"306","5202","CA6305202","Miltonhills",5,"series","well",40,6,"e",NA,6,"e",NA,"eroded fan remnant sideslope",60,FALSE,17.5666666666667,15,20,"2a",4,"e","NA"
"157","5202","CA6305202","Amador",40,"series","well",40,7,"e",NA,7,"e",NA,"eroded fan remnant sideslope",40,FALSE,21.7999992370605,15,20,"4a",4,"e","NA"
"130","5202","CA6305202","Pardee",50,"series","well",40,7,"e",NA,7,"e",NA,"eroded fan remnant sideslope",45,TRUE,18.75,35,20,"4a",4,"e","NA"
"225","6029","MLRA 22A - 2277q Holland-Chawanakee-Rock outcrop cplx, 45 to 90","Chawanakee",25,"taxadjunct","somewhat excessively",90,8,NA,NA,8,NA,NA,"canyon",26,FALSE,15.5,15,18,"4a",5,"NA","NA"
"224","6029","MLRA 22A - 2277q Holland-Chawanakee-Rock outcrop cplx, 45 to 90","Holland",50,"taxadjunct","well",90,8,NA,NA,8,NA,NA,"canyon",200,TRUE,14.3298969072165,14,17,"1d",5,"NA","NA"
"425","6033","MLRA 22A - 2x4cn Musick-Wukusick cplx, 3 to 15, lo precip","Humic Lithic Dystroxerepts",3,"family","somewhat excessively",15,7,"e",NA,7,"e",NA,"mountain slope",28,FALSE,15.5357142857143,14,20,"4a",3,"e","NA"
"230","6033","MLRA 22A - 2x4cn Musick-Wukusick cplx, 3 to 15, lo precip","Wukusick",45,"series","well",15,3,"e","3",3,"e","3","mountain slope",200,TRUE,36,14,27,"1d",3,"e","5"
"229","6033","MLRA 22A - 2x4cn Musick-Wukusick cplx, 3 to 15, lo precip","Musick",50,"series","well",15,3,"e","1",3,"e","1","mountain slope",200,TRUE,22.8404255319149,15,20,"1d",3,"e","1"
"426","6034","MLRA 22A - 2277r Musick-Wukusick cplx, 3 to 15","Humic Lithic Dystroxerepts",3,"family","somewhat excessively",15,7,"e",NA,7,"e",NA,"mountain slope",28,FALSE,15.5357142857143,14,20,"4a",3,"e","NA"
"77","6034","MLRA 22A - 2277r Musick-Wukusick cplx, 3 to 15","Wukusick",45,"series","well",15,3,"e","3",3,"e","3","mountain slope",200,TRUE,36,14,27,"1d",3,"e","5"
"6","6034","MLRA 22A - 2277r Musick-Wukusick cplx, 3 to 15","Musick",50,"series","well",15,3,"e","1",3,"e","1","mountain slope",200,TRUE,22.8404255319149,15,20,"1d",3,"e","1"
"232","6036","MLRA 22A - 2x4cr Musick-Wukusick cplx, 15 to 30, lo precip","Wukusick",37,"series","well",30,4,"e","3",4,"e","3","mountain slope",200,TRUE,34.495145631068,14,27,"2a",4,"e","1"
"231","6036","MLRA 22A - 2x4cr Musick-Wukusick cplx, 15 to 30, lo precip","Musick",60,"series","well",30,4,"e","1",4,"e","1","mountain slope",185,TRUE,24.2222222222222,15,20,"1d",4,"e","1"
"234","6037","MLRA 22A - 2277s Musick-Wukusick cplx, 15 to 30","Wukusick",37,"series","well",30,4,"e","3",4,"e","3","mountain slope",200,TRUE,38.8717948717949,14,20,"1d",4,"e","5"
"233","6037","MLRA 22A - 2277s Musick-Wukusick cplx, 15 to 30","Musick",60,"series","well",30,4,"e","1",4,"e","1","mountain slope",185,TRUE,24.2222222222222,15,20,"1d",4,"e","1"
"78","6038","MLRA 22A - 21stt Musick-Wukusick cplx, 30 to 60, lo precip","Wukusick",32,"series","well",60,7,"e",NA,7,"e",NA,"mountain slope",200,TRUE,38.8717948717949,14,20,"1d",5,"e","NA"
"5","6038","MLRA 22A - 21stt Musick-Wukusick cplx, 30 to 60, lo precip","Musick",65,"series","well",60,7,"e",NA,7,"e",NA,"mountain slope",160,TRUE,18.0340909090909,15,20,"2a",5,"e","NA"
"223","6039","MLRA 22A - 2pbgf Holland-Wukusick-Mantree cplx, 30 to 60","Mantree",16,"series","well",60,7,"e",NA,7,"e",NA,"mountain slope",175,TRUE,16.453164378299,14,19,"2a",5,"e","NA"
"81","6039","MLRA 22A - 2pbgf Holland-Wukusick-Mantree cplx, 30 to 60","Wukusick",20,"series","well",60,7,"e",NA,7,"e",NA,"mountain slope",200,TRUE,28.4810126582278,14,20,"2a",5,"e","NA"
"82","6039","MLRA 22A - 2pbgf Holland-Wukusick-Mantree cplx, 30 to 60","Holland",60,"series","well",60,7,"e",NA,7,"e",NA,"mountain slope",178,TRUE,24.0540540540541,14,20,"2a",5,"e","NA"
"407","6041","CA6306041","Holland",10,"series","well",15,3,"e","1",3,"e","1","mountain slope",126,TRUE,31.2823529411765,7,20,"2a",3,"e","8"
"405","6041","CA6306041","Musick",10,"series","well",15,3,"e","1",3,"e","1","mountain slope",200,TRUE,22.8404255319149,15,20,"1d",3,"e","1"
"403","6041","CA6306041","Redapple",10,"series","well",15,3,"e","5",3,"e","5","mountain slope",200,TRUE,44.1151509140477,15,27,"2a",3,"e","3"
"423","6041","CA6306041","Mantree",70,"series","well",15,3,"e","1",3,"e","1","mountain slope",175,TRUE,16.453164378299,14,19,"2a",3,"e","1"
"408","6043","CA6306043","Holland",10,"series","well",30,4,"e","1",4,"e","1","mountain slope",126,TRUE,31.2823529411765,7,20,"2a",4,"e","8"
"406","6043","CA6306043","Musick",10,"series","well",30,4,"e","1",4,"e","1","mountain slope",185,TRUE,24.2222222222222,15,20,"1d",4,"e","1"
"404","6043","CA6306043","Redapple",10,"series","well",30,4,"e","5",4,"e","5","mountain slope",200,TRUE,44.1151509140477,15,27,"2a",4,"e","3"
"424","6043","CA6306043","Mantree",70,"series","well",30,4,"e","1",4,"e","1","mountain slope",175,TRUE,16.453164378299,14,19,"2a",4,"e","1"
"208","6054","CA6306054","Chawanakee",28,"series","somewhat excessively",30,7,"e",NA,7,"e",NA,"hill",36,FALSE,10.6111111111111,14,17,"4a",4,"e","NA"
"206","6054","CA6306054","Holland",30,"series","well",30,4,"e","1",4,"e","1","hill",126,TRUE,31.2823529411765,7,20,"2a",4,"e","8"
"207","6054","CA6306054","Shaver",40,"series","well",30,4,"e","1",4,"e","1","hill",111,FALSE,6.97979797979798,2,15,"2a",4,"e","8"
"209","6055","CA6306055","Holland",20,"series","well",60,7,"e",NA,7,"e",NA,"hill",126,TRUE,31.2823529411765,7,20,"2a",5,"e","NA"
"211","6055","CA6306055","Lithic Humixerepts",35,"family","somewhat excessively",60,8,"e",NA,8,"e",NA,"hill",18,FALSE,5,35,18,"4b",5,"NA","NA"
"210","6055","CA6306055","Shaver",40,"series","well",60,7,"e",NA,7,"e",NA,"hill",117,FALSE,13.9285714285714,3,18,"2a",5,"e","NA"
"243","6070","CA6306070","Aqualfs",2,"taxon above family","poorly",8,5,"w",NA,5,"w",NA,"hill",95,TRUE,21.5542168674699,8,19,"3a",2,"w","NA"
"205","6070","CA6306070","Hurleton",5,"series","well",8,4,"s","7",4,"s","7","hill",80,TRUE,30.225,48,23,"6",2,"s","8"
"13","6070","CA6306070","Aquic Haploxeralfs",15,"family","somewhat poorly",8,5,"e",NA,5,"e",NA,"hill",109,TRUE,27.51,8,19,"2b",2,"e","NA"
"49","6070","CA6306070","Verjeles",36,"series","moderately well",8,5,"e",NA,5,"e",NA,"hill",73,TRUE,26.0655737704918,12,18,"2a",2,"e","NA"
"50","6070","CA6306070","Sierra",40,"series","well",8,3,"e","1",2,"e","1","hill",150,TRUE,29.5038759689922,8,17,"1d",2,"e","1"
"52","6071","MLRA 18 - 2myb3 Sierra-Flanly cplx, 3 to 15","Hurleton",10,"series","well",15,3,"s","7",3,"s","7","hill",80,FALSE,27.8714285714286,58,24,"6",3,"s","8"
"51","6071","MLRA 18 - 2myb3 Sierra-Flanly cplx, 3 to 15","Flanly",40,"series","well",15,3,"e","1",3,"e","1","hill",84,FALSE,20.4880952380952,23,20,"2a",3,"e","8"
"48","6071","MLRA 18 - 2myb3 Sierra-Flanly cplx, 3 to 15","Sierra",46,"series","well",15,3,"e","1",3,"e","1","hill",155,TRUE,32.0592592592593,12,22,"2a",3,"e","1"
"270","6072","MLRA 18 - 2x4c8 Flanly-Verjeles cplx, 0 to 8","Auberry",10,"series","well",8,3,"e","1",3,"e","1","low hill",112,TRUE,24.1076923076923,10,20,"2a",2,"e","8"
"269","6072","MLRA 18 - 2x4c8 Flanly-Verjeles cplx, 0 to 8","Verjeles",15,"series","moderately well",8,5,"e",NA,5,"e",NA,"low hill",90,TRUE,28.8666666666667,5,20,"2a",2,"e","NA"
"190","6072","MLRA 18 - 2x4c8 Flanly-Verjeles cplx, 0 to 8","Flanly",74,"series","well",8,3,"e","1",3,"e","1","low hill",65,TRUE,24.7692307692308,5,20,"2a",2,"e","8"
"204","6074","MLRA 18 - 2lk4x Sierra-Orose cplx, 8 to 30","Aqualfs",3,"taxon above family","poorly",8,5,"w",NA,5,"w",NA,"drainageway",95,TRUE,20.1368421052632,0,20,"3a",2,"w","NA"
"37","6074","MLRA 18 - 2lk4x Sierra-Orose cplx, 8 to 30","Hurleton",8,"series","well",30,4,"e","7",4,"e","7","hill",80,TRUE,28.3913043478261,56,23,"6",4,"s","8"
"120","6074","MLRA 18 - 2lk4x Sierra-Orose cplx, 8 to 30","Orose",15,"series","somewhat excessively",30,6,"e",NA,6,"e",NA,"hill",38,TRUE,22.4736842105263,22,20,"4a",4,"e","NA"
"14","6074","MLRA 18 - 2lk4x Sierra-Orose cplx, 8 to 30","Sierra",70,"series","well",30,4,"e","1",4,"e","1","hill",201,TRUE,24.2857142857143,13,20,"1d",4,"e","1"
"15","6075","MLRA 18 - 2lk4y Sierra-Flanly cplx, 30 to 60","Orose",5,"series","somewhat excessively",60,7,"e",NA,7,"e",NA,"hill",49,TRUE,22.734693877551,15,20,"4a",5,"e","NA"
"54","6075","MLRA 18 - 2lk4y Sierra-Flanly cplx, 30 to 60","Hurleton",10,"series","well",60,7,"e",NA,7,"e",NA,"hill",87,TRUE,25.5287356321839,55,23,"6",5,"e","NA"
"53","6075","MLRA 18 - 2lk4y Sierra-Flanly cplx, 30 to 60","Flanly",30,"series","well",60,8,NA,NA,8,NA,NA,"hill",84,TRUE,27,13,27,"2a",5,"NA","NA"
"16","6075","MLRA 18 - 2lk4y Sierra-Flanly cplx, 30 to 60","Sierra",50,"series","well",60,7,"e",NA,7,"e",NA,"hill",114,TRUE,21.7659574468085,11,16,"2a",5,"e","NA"
"55","6076","MLRA 18 - 2lk4z Auberry-Hurleton-Rock outcrop cplx, 20 to 60","Hurleton",30,"series","well",60,7,"e",NA,7,"e",NA,"canyon",80,TRUE,24.925,59,20,"6",5,"e","NA"
"20","6076","MLRA 18 - 2lk4z Auberry-Hurleton-Rock outcrop cplx, 20 to 60","Auberry",45,"series","well",60,7,"e",NA,7,"e",NA,"canyon",143,TRUE,27.5774647887324,23,17,"2a",5,"e","NA"
"189","6078","CA6306078","Orose",2,"series","somewhat excessively",65,7,"e",NA,7,"e",NA,"hill",43,TRUE,17.0232558139535,15,20,"4a",5,"e","NA"
"188","6078","CA6306078","Wukusick",5,"taxadjunct","well",65,7,"e",NA,7,"e",NA,"hill",180,TRUE,40.0285714285714,14,35,"2a",5,"e","NA"
"187","6078","CA6306078","Ultic Palexeralfs",8,"family","well",65,7,"e",NA,7,"e",NA,"hill",152,TRUE,39.9210526315789,15,27,"2a",5,"e","NA"
"186","6078","CA6306078","Flanly",30,"series","well",65,7,"e",NA,7,"e",NA,"hill",81,TRUE,25.4855262354801,20,25,"2a",5,"e","NA"
"185","6078","CA6306078","Sierra",55,"series","well",65,7,"e",NA,7,"e",NA,"hill",152,TRUE,16.7961037623418,14,20,"1d",5,"e","NA"
"271","6079","MLRA 18 - 2x4c9 Flanly L, 8 to 30","Auberry",10,"series","well",30,4,"e","1",4,"e","1","low hill",109,TRUE,22.5072463768116,10,20,"2a",4,"e","8"
"268","6079","MLRA 18 - 2x4c9 Flanly L, 8 to 30","Flanly",85,"series","well",30,6,"e",NA,6,"e",NA,"low hill",81,TRUE,19.8271604938272,5,20,"2a",4,"e","NA"
"222","6202","MLRA 22A - 2lp97 Musick-Ultic Haploxeralfs, MWD, cplx, 1 to 8","Aquepts",6,"taxon above family","poorly",3,5,"w",NA,5,"w",NA,"drainageway & depression",73,FALSE,15.2857142857143,0,18,"3b",2,"w","NA"
"221","6202","MLRA 22A - 2lp97 Musick-Ultic Haploxeralfs, MWD, cplx, 1 to 8","Ultic Haploxeralfs",30,"family","moderately well",8,3,"e","1",3,"e","1","hill",90,TRUE,25.7540983606557,20,20,"2a",2,"e","8"
"220","6202","MLRA 22A - 2lp97 Musick-Ultic Haploxeralfs, MWD, cplx, 1 to 8","Musick",60,"series","well",8,3,"e","1",3,"e","1","hill",170,TRUE,34.5811965811966,20,22,"2a",2,"e","7"
"218","6205","CA6306205","Lithic Dystroxerepts",3,"family","somewhat excessively",8,6,"e",NA,6,"e",NA,"hill",39,FALSE,18,10,14,"4a",2,"e","NA"
"430","6205","CA6306205","Wukusick",5,"series","well",8,3,"e","3",2,"e","3","mountain slope",200,TRUE,38.8717948717949,14,20,"1d",2,"e","5"
"219","6205","CA6306205","Musick",88,"series","well",8,3,"e","1",3,"e","1","hill",165,TRUE,29.4466019417476,5,18,"2a",2,"e","1"
"217","6206","MLRA 22A - 2lk52 Musick-Hotaw cplx, 8 to 30","Aqualfs",2,"taxon above family","poorly",8,5,"w",NA,5,"w",NA,"drainageway",95,TRUE,20.1368421052632,0,20,"3a",2,"w","NA"
"432","6206","MLRA 22A - 2lk52 Musick-Hotaw cplx, 8 to 30","Wukusick",5,"series","well",30,4,"e","3",4,"e","3","mountain slope",200,TRUE,38.8717948717949,14,20,"1d",4,"e","5"
"213","6206","MLRA 22A - 2lk52 Musick-Hotaw cplx, 8 to 30","Hotaw",25,"series","well",30,4,"e","1",4,"e","1","hill",56,TRUE,19.6428571428571,35,17,"2a",4,"e","8"
"212","6206","MLRA 22A - 2lk52 Musick-Hotaw cplx, 8 to 30","Musick",64,"series","well",30,6,"e",NA,6,"e",NA,"hill",150,TRUE,28.4833333333333,14,19,"2a",4,"e","NA"
"431","6207","CA6306207","Wukusick",5,"series","well",60,7,"e",NA,7,"e",NA,"mountain slope",200,TRUE,38.8717948717949,14,20,"1d",5,"e","NA"
"216","6207","CA6306207","Chawanakee",15,"series","somewhat excessively",60,7,"e",NA,7,"e",NA,"hill",27,FALSE,12.3333333333333,20,12,"4a",5,"e","NA"
"215","6207","CA6306207","Hotaw",20,"series","well",60,7,"e",NA,7,"e",NA,"hill",94,TRUE,27.8409090909091,15,18,"2a",5,"e","NA"
"214","6207","CA6306207","Musick",55,"series","well",60,7,"e",NA,7,"e",NA,"hill",205,TRUE,33.4821428571429,15,23,"2a",5,"e","NA"
"169","7074","MLRA 18 - 2x296 Loafercreek-Bonanza cplx, 3 to 15","Gopheridge",10,"series","well",15,4,"e","1",4,"e","1","hill",66,TRUE,28.3606557377049,50,24,"6",3,"s","8"
"163","7074","MLRA 18 - 2x296 Loafercreek-Bonanza cplx, 3 to 15","Bonanza",25,"series","well",15,4,"e","1",4,"e","1","hill",41,TRUE,20.2222222222222,15,22,"4a",3,"e","8"
"162","7074","MLRA 18 - 2x296 Loafercreek-Bonanza cplx, 3 to 15","Loafercreek",58,"series","well",15,4,"e","1",4,"e","1","hill",60,TRUE,28.375,15,27,"2a",3,"e","8"
"326","7076","MLRA 18 - 2x294 Bonanza-Loafercreek-Gopheridge cplx, 15 to 30","Auburn",3,"series","well",30,7,"e",NA,7,"e",NA,"hill",34,FALSE,15.5882352941176,15,20,"4a",4,"e","NA"
"161","7076","MLRA 18 - 2x294 Bonanza-Loafercreek-Gopheridge cplx, 15 to 30","Motherlode",5,"series","well",30,4,"e","1",4,"e","1","hill",125,TRUE,25.3673469387755,10,22,"2a",4,"e","8"
"159","7076","MLRA 18 - 2x294 Bonanza-Loafercreek-Gopheridge cplx, 15 to 30","Gopheridge",20,"series","well",30,6,"e",NA,6,"e",NA,"hill",81,TRUE,34.6281695298746,10,20,"2a",4,"e","NA"
"160","7076","MLRA 18 - 2x294 Bonanza-Loafercreek-Gopheridge cplx, 15 to 30","Loafercreek",31,"series","well",30,4,"e","1",4,"e","1","hill",65,TRUE,23.2923076923077,10,25,"2a",4,"e","8"
"158","7076","MLRA 18 - 2x294 Bonanza-Loafercreek-Gopheridge cplx, 15 to 30","Bonanza",40,"series","well",30,4,"e","1",4,"e","1","hill",45,TRUE,19.7333333333333,10,22,"4a",4,"e","8"
"168","7078","MLRA 18 - 2x295 Jasperpeak-Gopheridge cplx, 30 to 60","Gardellones",5,"series","well",60,7,"e",NA,7,"e",NA,"hill",117,TRUE,31.3932584269663,15,18,"2a",5,"e","NA"
"166","7078","MLRA 18 - 2x295 Jasperpeak-Gopheridge cplx, 30 to 60","Loafercreek",5,"series","well",60,7,"e",NA,7,"e",NA,"hill",65,TRUE,27.1538461538462,30,20,"2a",5,"e","NA"
"167","7078","MLRA 18 - 2x295 Jasperpeak-Gopheridge cplx, 30 to 60","Motherlode",10,"series","well",60,8,NA,NA,8,NA,NA,"hill",112,TRUE,27.7605633802817,10,20,"2a",5,"NA","NA"
"164","7078","MLRA 18 - 2x295 Jasperpeak-Gopheridge cplx, 30 to 60","Gopheridge",25,"series","well",60,8,NA,NA,8,NA,NA,"hill",86,TRUE,34.4938271604938,15,22,"2a",5,"NA","NA"
"165","7078","MLRA 18 - 2x295 Jasperpeak-Gopheridge cplx, 30 to 60","Jasperpeak",49,"series","well",60,7,"e",NA,7,"e",NA,"hill",26,TRUE,18.3076923076923,10,20,"4a",5,"e","NA"
"324","7079","MLRA 18 - 2x293 Gopheridge-Loafercreek cplx, 30 to 60","Jasperpeak",5,"series","well",60,7,"e",NA,7,"e",NA,"hill",26,TRUE,18.3076923076923,10,20,"4a",5,"e","NA"
"325","7079","MLRA 18 - 2x293 Gopheridge-Loafercreek cplx, 30 to 60","Motherlode",10,"series","well",60,7,"e",NA,7,"e",NA,"hill",142,TRUE,26.015625,10,20,"2a",5,"e","NA"
"193","7079","MLRA 18 - 2x293 Gopheridge-Loafercreek cplx, 30 to 60","Loafercreek",25,"series","well",60,8,NA,NA,8,NA,NA,"hill",74,TRUE,24.6060606060606,10,18,"2a",5,"NA","NA"
"194","7079","MLRA 18 - 2x293 Gopheridge-Loafercreek cplx, 30 to 60","Gopheridge",58,"series","well",60,7,"e",NA,7,"e",NA,"hill",76,TRUE,28.2941176470588,60,20,"6",5,"e","NA"
"100","7083","MLRA 18 - 2n89h Aquic Haploxeralfs-Loafercreek-Dunstone cplx, 1 to 12","Dunstone",20,"series","well",12,6,"e",NA,6,"e",NA,"hill",30,TRUE,17.2,20,20,"4a",3,"e","NA"
"171","7083","MLRA 18 - 2n89h Aquic Haploxeralfs-Loafercreek-Dunstone cplx, 1 to 12","Loafercreek",34,"series","well",12,3,"e","1",3,"e","1","hill",60,FALSE,29.9807692307692,15,25,"2a",3,"e","8"
"170","7083","MLRA 18 - 2n89h Aquic Haploxeralfs-Loafercreek-Dunstone cplx, 1 to 12","Aquic Haploxeralfs",45,"family","moderately well",8,5,"e",NA,5,"w",NA,"depression & drainageway",71,TRUE,37.0535714285714,15,27,"2a",2,"e","NA"
"327","7085","MLRA 18 - 2mywp Bonanza-Loafercreek cplx, 3 to 15","Auburn",5,"series","well",15,6,"e",NA,6,"e",NA,"hill",33,FALSE,22.8484848484848,15,20,"4a",3,"e","NA"
"172","7085","MLRA 18 - 2mywp Bonanza-Loafercreek cplx, 3 to 15","Gopheridge",5,"series","well",15,4,"e","1",4,"e","1","hill",65,TRUE,33.0615384615385,35,20,"2a",3,"e","8"
"56","7085","MLRA 18 - 2mywp Bonanza-Loafercreek cplx, 3 to 15","Loafercreek",32,"series","well",15,3,"e","1",3,"e","1","hill",66,TRUE,31.9393939393939,5,22,"2a",3,"e","8"
"57","7085","MLRA 18 - 2mywp Bonanza-Loafercreek cplx, 3 to 15","Bonanza",54,"series","well",15,7,"e",NA,7,"e",NA,"hill",38,TRUE,24.6052631578947,15,25,"4a",3,"e","NA"
"128","7086","MLRA 18 - 2mx8f Loafercreek-Gopheridge cplx, 15 to 30","Motherlode",10,"series","well",30,4,"e","1",4,"e","1","hill",125,TRUE,25.3673469387755,10,22,"2a",4,"e","8"
"126","7086","MLRA 18 - 2mx8f Loafercreek-Gopheridge cplx, 15 to 30","Bonanza",13,"series","well",30,4,"e","1",4,"e","1","hill",38,TRUE,22.4210526315789,15,22,"4a",4,"e","8"
"45","7086","MLRA 18 - 2mx8f Loafercreek-Gopheridge cplx, 15 to 30","Gopheridge",25,"series","well",30,4,"e","1",4,"e",NA,"hill",60,FALSE,23.5,15,25,"2a",4,"e","8"
"46","7086","MLRA 18 - 2mx8f Loafercreek-Gopheridge cplx, 15 to 30","Loafercreek",50,"series","well",30,6,"e",NA,6,"e",NA,"hill",52,TRUE,21.4615384615385,10,24,"2a",4,"e","NA"
"192","7087","MLRA 18 - 2mx8h Loafercreek-Gopheridge cplx, cool, 15 to 30","Jasperpeak",9,"taxadjunct","well",30,4,"e",NA,4,"e",NA,"hill",49,TRUE,21.9387755102041,15,20,"4a",4,"e","8"
"127","7087","MLRA 18 - 2mx8h Loafercreek-Gopheridge cplx, cool, 15 to 30","Gopheridge",20,"series","well",30,6,"e",NA,6,"e",NA,"hill",86,TRUE,32.1842105263158,25,22,"2a",4,"e","NA"
"47","7087","MLRA 18 - 2mx8h Loafercreek-Gopheridge cplx, cool, 15 to 30","Loafercreek",70,"series","well",30,4,"e",NA,4,"e",NA,"hill",60,TRUE,25.3859649122807,10,20,"2a",4,"e","8"
"147","7088","MLRA 18 - 20mn5 Loafercreek-Gopheridge cplx, 30 to 60","Gardellones",5,"series","well",60,7,"e",NA,7,"e",NA,"hill",114,TRUE,21.6438356164384,10,19,"2a",5,"e","NA"
"134","7088","MLRA 18 - 20mn5 Loafercreek-Gopheridge cplx, 30 to 60","Jasperpeak",5,"series","well",60,7,"e",NA,7,"e",NA,"hill",29,TRUE,18.5862068965517,15,20,"4a",5,"e","NA"
"68","7088","MLRA 18 - 20mn5 Loafercreek-Gopheridge cplx, 30 to 60","Motherlode",10,"series","well",60,8,NA,NA,8,NA,NA,"hill",112,TRUE,27.7605633802817,10,20,"2a",5,"NA","NA"
"74","7088","MLRA 18 - 20mn5 Loafercreek-Gopheridge cplx, 30 to 60","Gopheridge",24,"series","well",60,7,"e",NA,7,"e",NA,"hill",66,TRUE,22.1311475409836,50,22,"6",5,"e","NA"
"67","7088","MLRA 18 - 20mn5 Loafercreek-Gopheridge cplx, 30 to 60","Loafercreek",50,"series","well",60,7,"e",NA,7,"e",NA,"hill",57,TRUE,24.3333333333333,10,20,"2a",5,"e","NA"
"135","7089","MLRA 18 - 2n89g Gardellones-Gopheridge-Motherlode cplx, 30 to 60","Gopheridge",15,"series","well",60,8,NA,NA,8,NA,NA,"hill",59,TRUE,22.5961538461538,10,22,"2a",5,"NA","NA"
"322","7089","MLRA 18 - 2n89g Gardellones-Gopheridge-Motherlode cplx, 30 to 60","Motherlode",15,"series","well",60,7,"e",NA,7,"e",NA,"hill",142,TRUE,26.015625,10,20,"2a",5,"e","NA"
"69","7089","MLRA 18 - 2n89g Gardellones-Gopheridge-Motherlode cplx, 30 to 60","Gardellones",68,"series","well",60,7,"e",NA,7,"e",NA,"hill",117,TRUE,31.3932584269663,15,18,"2a",5,"e","NA"
"34","7096","MLRA 18 - 2mfyn Gopheridge-Loafercreek cplx, 50 to 90","Jasperpeak",10,"taxadjunct","well",90,8,NA,NA,8,NA,NA,"hill",46,FALSE,20,35,22,"4a",5,"NA","NA"
"35","7096","MLRA 18 - 2mfyn Gopheridge-Loafercreek cplx, 50 to 90","Loafercreek",15,"series","well",90,8,NA,NA,8,NA,NA,"hill",51,TRUE,26.3265306122449,10,18,"2a",5,"NA","NA"
"33","7096","MLRA 18 - 2mfyn Gopheridge-Loafercreek cplx, 50 to 90","Gopheridge",70,"series","well",90,8,NA,NA,8,NA,NA,"hill",91,TRUE,27.2173913043478,45,16,"6",5,"NA","NA"
"323","7155","CA6307155","Fancher",10,"series","well",15,4,"e","3",4,"e","3","hill",62,TRUE,34.9516129032258,15,25,"2a",3,"e","9"
"2","7155","CA6307155","Sixbit",35,"taxadjunct","well",15,7,"e",NA,7,"e",NA,"hill",26,TRUE,21.3846153846154,35,25,"4a",3,"e","NA"
"23","7155","CA6307155","Crimeahouse",52,"series","well",15,4,"e","9",4,"e","9","hill",82,TRUE,30.4878048780488,55,25,"6",3,"s","9"
"143","7156","MLRA 18 - 20mn7 Crimeahouse-Sixbit cplx, 15 to 30","Sixbit",35,"series","well",30,8,NA,NA,8,NA,NA,"hill",30,TRUE,30.2,20,18,"4a",4,"NA","NA"
"142","7156","MLRA 18 - 20mn7 Crimeahouse-Sixbit cplx, 15 to 30","Crimeahouse",59,"series","well",30,7,"e",NA,7,"e",NA,"hill",51,TRUE,26.1372549019608,30,25,"2a",4,"e","NA"
"145","7159","MLRA 18 - 21zq2 Crimeahouse-Sixbit cplx, 30 to 70","Sixbit",45,"series","well",70,7,"e",NA,7,"e",NA,"hill",48,TRUE,24.1944444444444,35,25,"4a",5,"e","NA"
"144","7159","MLRA 18 - 21zq2 Crimeahouse-Sixbit cplx, 30 to 70","Crimeahouse",50,"series","well",70,7,"e",NA,7,"e",NA,"hill",66,TRUE,24.1860465116279,75,22,"6",5,"e","NA"
"140","7165","CA6307165","Crimeahouse",30,"taxadjunct","well",20,4,"e","1",4,"e","1","hill",61,TRUE,32.7037037037037,35,25,"2a",4,"e","8"
"141","7165","CA6307165","Sixbit",65,"taxadjunct","well",20,7,"e",NA,7,"e",NA,"hill",30,TRUE,20.4333333333333,40,18,"6",4,"s","NA"
"138","7166","CA6307166","Crimeahouse",3,"taxadjunct","well",45,6,"e",NA,6,"e",NA,"hill",80,TRUE,31.250908314098,35,27,"2a",4,"e","NA"
"139","7166","CA6307166","Sixbit",85,"taxadjunct","well",45,6,"e",NA,6,"e",NA,"hill",37,TRUE,25.6060606060606,45,18,"6",4,"s","NA"
"36","7207","CA6307207","Hetchy",15,"series","well",60,7,"e",NA,7,"e",NA,"hill",54,TRUE,22.0833333333333,15,25,"2a",5,"e","NA"
